,Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Price,Memory1,Memory2,Processor
70,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,4.0,Intel HD Graphics 620,Windows 10 S,58021.92,128GB SSD,No additional storage,Intel Core i5
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,64.0,AMD Radeon 530,Windows 10,50882.4,256GB SSD,No additional storage,Intel Core i7
72,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,46353.6,256GB SSD,No additional storage,Intel Core i7
73,MSI,Gaming,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,58341.6,128GB SSD,1TB HDD,Intel Core i5
74,Acer,Notebook,14.0,1366x768,8.0,Intel HD Graphics 520,Windows 10,20725.92,1TB HDD,No additional storage,Intel Core i3
75,Asus,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,50562.72,1TB HDD,No additional storage,Intel Core i7
76,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,No OS,27652.32,2TB HDD,No additional storage,Intel Core i5
77,Dell,Notebook,15.6,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,45554.4,128GB SSD,1TB HDD,Intel Core i7
78,Acer,Notebook,15.6,Full HD 1920x1080,4.0,Nvidia GeForce MX130,Windows 10,28238.4,1TB HDD,No additional storage,Intel Core i3
79,HP,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 930MX,Windows 10,52054.56,128GB SSD,1TB HDD,Intel Core i5
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,58403.4048,256GB SSD,No additional storage,Intel Core i5
81,Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,8.0,Intel HD Graphics 615,macOS,80452.8,512GB SSD,No additional storage,Intel Core i5
82,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,45820.8,256GB SSD,No additional storage,Intel Core i5
83,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,AMD R4 Graphics,Windows 10,21258.72,128GB SSD,No additional storage,AMD A6-Series
84,Acer,Notebook,15.6,1366x768,4.0,AMD Radeon R5,Windows 10,21045.6,1TB HDD,No additional storage,AMD A9-Series
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,71874.72,128GB SSD,1TB HDD,Intel Core i7
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 940MX,Windows 10,37242.72,256GB SSD,No additional storage,Intel Core i7
87,HP,Notebook,15.6,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,31914.1872,256GB SSD,No additional storage,Intel Core i5
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,77202.72,128GB SSD,1TB HDD,Intel Core i7
89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,87858.72,256GB SSD,No additional storage,Intel Core i7
90,Asus,Gaming,15.6,Full HD 1920x1080,8.0,AMD Radeon RX 560,Windows 10,37242.72,1TB HDD,No additional storage,AMD FX
91,Acer,Notebook,15.6,Full HD 1920x1080,2.0,Nvidia GeForce MX150,Windows 10,36709.92,1TB HDD,No additional storage,Intel Core i7
92,HP,Notebook,13.3,Full HD 1920x1080,16.0,Intel UHD Graphics 620,Windows 10,63776.16,512GB SSD,No additional storage,Intel Core i7
93,Dell,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1060,Windows 10,63669.6,256GB SSD,No additional storage,Intel Core i5
94,Asus,Ultrabook,14.0,Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,55890.72,256GB SSD,No additional storage,Intel Core i7
95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,45128.16,256GB SSD,No additional storage,Intel Core i5
96,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon R5 M430,Linux,31962.672,1TB HDD,No additional storage,Intel Core i7
97,Dell,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Linux,25840.8,256GB SSD,No additional storage,Intel Core i3
98,Asus,Notebook,15.6,Full HD 1920x1080,6.0,Nvidia GeForce 920M,Windows 10,30742.56,256GB SSD,No additional storage,Intel Core i3
99,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,12.0,Nvidia GeForce GTX 1050,Windows 10,66546.72,128GB SSD,1TB HDD,Intel Core i7
100,HP,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 530,Windows 10,38308.32,256GB SSD,No additional storage,Intel Core i7
101,HP,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R2,Windows 10,18594.72,500GB HDD,No additional storage,AMD E-Series
102,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 520,Linux,34472.16,1TB HDD,No additional storage,Intel Core i5
103,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,Windows 10,59620.32,256GB SSD,No additional storage,Intel Core i7
104,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,8.0,Intel HD Graphics 620,Windows 10 S,71395.2,256GB SSD,No additional storage,Intel Core i5
105,HP,Notebook,14.0,IPS Panel Full HD 1920x1080,6.0,Nvidia GeForce 940MX,Windows 10,35111.52,256GB SSD,No additional storage,Intel Core i5
106,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 520,Windows 10,22105.872,1TB HDD,No additional storage,Intel Core i3
107,Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,63563.04,256GB SSD,No additional storage,Intel Core i7
108,MSI,Gaming,15.6,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,69210.72,256GB SSD,1TB HDD,Intel Core i7
109,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8.0,Intel HD Graphics 620,Windows 10,78854.4,256GB SSD,No additional storage,Intel Core i7
110,Asus,Ultrabook,15.6,Full HD 1920x1080,16.0,Nvidia GeForce MX150,Windows 10,67239.36,256GB SSD,1TB HDD,Intel Core i7
111,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,8.0,Intel Iris Plus Graphics 640,Windows 10,73473.12,256GB SSD,No additional storage,Intel Core i7
112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8.0,Intel HD Graphics 620,Windows 10,74538.72,256GB SSD,No additional storage,Intel Core i5
113,HP,Notebook,14.0,IPS Panel 1366x768,4.0,Intel UHD Graphics 620,Windows 10,38468.16,500GB HDD,No additional storage,Intel Core i5
114,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,86793.12,256GB SSD,No additional storage,Intel Core i5
116,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,57755.52,512GB SSD,No additional storage,Intel Core i7
117,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,60223.9824,256GB SSD,1TB HDD,Intel Core i7
118,Asus,Notebook,17.3,Full HD 1920x1080,4.0,Nvidia GeForce 920MX,Windows 10,30049.92,1TB HDD,No additional storage,Intel Core i3
119,Asus,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,Windows 10,59567.04,256GB SSD,No additional storage,Intel Core i7
120,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,6.0,Intel HD Graphics 620,Windows 10,25521.12,1TB HDD,No additional storage,Intel Core i3
121,MSI,Gaming,15.6,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1070,Windows 10,119427.12,256GB SSD,2TB HDD,Intel Core i7
122,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,Nvidia GeForce 940MX,No OS,33513.12,256GB SSD,No additional storage,Intel Core i5
123,HP,Notebook,17.3,Full HD 1920x1080,16.0,Nvidia GeForce 930MX ,Windows 10,67718.88,512GB SSD,No additional storage,Intel Core i7
124,Acer,Notebook,15.6,1366x768,4.0,AMD Radeon R5,Windows 10,24029.28,256GB SSD,No additional storage,AMD A9-Series
126,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,43263.36,1TB HDD,No additional storage,Intel Core i5
127,Asus,Notebook,14.0,1366x768,4.0,AMD Radeon R2,Windows 10 S,14811.3072,64GB SSD,No additional storage,AMD E-Series
128,Dell,Notebook,17.3,Full HD 1920x1080,16.0,AMD Radeon 530,Windows 10,74378.88,256GB SSD,2TB HDD,Intel Core i7
129,HP,Notebook,17.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,49443.84,256GB SSD,No additional storage,Intel Core i5
130,Dell,Notebook,15.6,1366x768,8.0,AMD Radeon R7 M445,Windows 10,34045.3872,1TB HDD,No additional storage,Intel Core i5
131,Dell,Notebook,15.6,Full HD 1920x1080,4.0,AMD Radeon R5 M430,Windows 10,23922.72,1TB HDD,No additional storage,Intel Core i3
132,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,47099.52,256GB SSD,No additional storage,Intel Core i7
133,Acer,Notebook,15.6,Full HD 1920x1080,4.0,Nvidia GeForce MX130,Windows 10,30476.16,256GB SSD,No additional storage,Intel Core i3
134,HP,Notebook,15.6,1366x768,8.0,Intel HD Graphics 620,Windows 10,31861.44,1TB HDD,No additional storage,Intel Core i7
135,HP,Notebook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,52640.64,256GB SSD,No additional storage,Intel Core i7
136,Lenovo,Notebook,15.6,1366x768,4.0,Intel HD Graphics 500,No OS,13445.7408,1TB HDD,No additional storage,Intel Celeron
137,Asus,Gaming,17.3,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,49976.64,128GB SSD,1TB HDD,Intel Core i5
138,Lenovo,Notebook,15.6,Full HD 1920x1080,4.0,Nvidia GeForce 920MX,No OS,26586.72,1TB HDD,No additional storage,Intel Core i5
139,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4.0,Intel HD Graphics 620,Windows 10,37242.72,256GB SSD,No additional storage,Intel Core i5
140,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4.0,Nvidia GeForce MX130,Windows 10,34898.4,1TB HDD,No additional storage,Intel Core i3
141,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8.0,AMD Radeon RX 550,Windows 10,59461.5456,256GB SSD,No additional storage,Intel Core i5
142,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050M,No OS,46300.32,256GB SSD,No additional storage,Intel Core i7
143,Toshiba,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,32074.56,500GB HDD,No additional storage,Intel Core i5
144,HP,Notebook,15.6,1366x768,4.0,AMD Radeon R4 Graphics,Windows 10,19660.32,256GB SSD,No additional storage,AMD A6-Series
145,Asus,Ultrabook,14.0,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,58554.72,256GB SSD,No additional storage,Intel Core i7
146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8.0,Intel HD Graphics 515,Windows 10,107305.92,512GB SSD,No additional storage,Intel Core M
147,Asus,Notebook,15.6,Full HD 1920x1080,4.0,Intel HD Graphics 500,Windows 10,18328.32,1TB HDD,No additional storage,Intel Celeron
149,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,23816.16,1TB HDD,No additional storage,Intel Core i3
150,Dell,Gaming,15.6,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050,Windows 10,66560.5728,512GB SSD,No additional storage,Intel Core i7
151,Dell,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,47898.72,1.0TB Hybrid,No additional storage,Intel Core i7
152,Lenovo,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,26533.44,128GB SSD,No additional storage,Intel Core i5
153,MSI,Gaming,17.3,Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,100699.2,256GB SSD,1TB HDD,Intel Core i7
154,HP,Ultrabook,14.0,Full HD 1920x1080,4.0,Intel HD Graphics 620,Windows 10,57648.96,256GB SSD,No additional storage,Intel Core i5
155,HP,Notebook,15.6,Full HD 1920x1080,6.0,AMD Radeon 520,Windows 10,32980.32,256GB SSD,No additional storage,Intel Core i5
156,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,4.0,Intel HD Graphics 620,Windows 10,33513.12,256GB SSD,No additional storage,Intel Core i3
157,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8.0,Intel HD Graphics 620,Windows 10,70063.2,256GB SSD,No additional storage,Intel Core i5
158,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,55890.72,256GB SSD,No additional storage,Intel Core i7
159,Toshiba,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,23816.16,500GB HDD,No additional storage,Intel Core i3
160,Asus,Notebook,15.6,1366x768,4.0,AMD Radeon R5 M420,Windows 10,21471.84,1TB HDD,No additional storage,AMD A9-Series
161,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4.0,Nvidia GeForce MX150,Windows 10,42890.4,256GB SSD,No additional storage,Intel Core i5
162,Dell,Notebook,15.6,Full HD 1920x1080,8.0,AMD Radeon 520,Windows 10,38787.84,256GB SSD,No additional storage,Intel Core i5
163,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,57489.12,256GB SSD,No additional storage,Intel Core i7
164,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 500,Windows 10,18541.44,1TB HDD,No additional storage,Intel Celeron
165,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,16.0,Nvidia GeForce GTX 1060,Windows 10,95850.72,256GB SSD,1TB HDD,Intel Core i7
166,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 505,Windows 10,19367.8128,1TB HDD,No additional storage,Intel Pentium
167,Dell,Gaming,15.6,Full HD 1920x1080,8.0,Nvidia GeForce GTX 1050,Windows 10,56502.9072,128GB SSD,1TB HDD,Intel Core i7
168,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,Windows 10,45501.12,256GB SSD,No additional storage,Intel Core i5
169,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4.0,Intel UHD Graphics 620,Windows 10,40173.12,500GB HDD,No additional storage,Intel Core i5
170,Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,8.0,Intel HD Graphics 620,Windows 10,71874.72,256GB SSD,No additional storage,Intel Core i5
171,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,6.0,AMD Radeon 520,Windows 10,37242.72,2TB HDD,No additional storage,Intel Core i5
172,Lenovo,Notebook,15.6,1366x768,4.0,AMD Radeon R4 Graphics,No OS,16463.52,500GB HDD,No additional storage,AMD A6-Series
173,Toshiba,Notebook,15.6,1366x768,4.0,Intel HD Graphics 620,Windows 10,26053.92,500GB HDD,No additional storage,Intel Core i3
174,HP,Notebook,17.3,Full HD 1920x1080,8.0,Nvidia GeForce 930MX,Windows 10,49177.44,256GB SSD,No additional storage,Intel Core i5
175,Dell,Notebook,15.6,1366x768,8.0,Intel HD Graphics 620,Windows 10,24455.52,1TB HDD,No additional storage,Intel Core i3
176,Acer,Notebook,15.6,1366x768,4.0,Intel HD Graphics 520,Windows 10,23922.72,128GB SSD,No additional storage,Intel Core i3
177,MSI,Gaming,18.4,Full HD 1920x1080,32.0,Nvidia GTX 980 SLI,Windows 10,149130.72,512GB SSD,1TB HDD,Intel Core i7
178,Lenovo,Notebook,15.6,Full HD 1920x1080,8.0,AMD R17M-M1-70,Windows 10,43316.64,128GB SSD,1TB HDD,Intel Core i5
179,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8.0,Intel UHD Graphics 620,Windows 10,79866.72,256GB SSD,No additional storage,Intel Core i5
180,Dell,Notebook,15.6,Full HD 1920x1080,16.0,AMD Radeon 530,Linux,55890.72,256GB SSD,2TB HDD,Intel Core i7
181,Dell,Ultrabook,13.3,Full HD 1920x1080,8.0,Intel UHD Graphics 620,Windows 10,74538.72,256GB SSD,No additional storage,Intel Core i5
182,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16.0,Intel UHD Graphics 620,Windows 10,98514.72,512GB SSD,No additional storage,Intel Core i7
183,Toshiba,Notebook,15.6,1366x768,8.0,Intel HD Graphics 620,Windows 10,42251.04,128GB SSD,No additional storage,Intel Core i5
184,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,8.0,Nvidia GeForce MX150,No OS,63882.72,256GB SSD,No additional storage,Intel Core i5
